Brand,Model,Category,Performance_Score,Price_USD,Value_Per_Dollar,Category_Value_Rank
WHOOP,4.0,Fitness Band,72.7,30.0,2.4233333333333333,1
WHOOP,4.0,Fitness Band,72.2,30.0,2.4066666666666667,2
WHOOP,4.0,Fitness Band,72.2,30.0,2.4066666666666667,2
WHOOP,4.0,Fitness Band,72.2,30.0,2.4066666666666667,2
WHOOP,4.0,Fitness Band,71.9,30.0,2.3966666666666669,5
WHOOP,4.0,Fitness Band,71.9,30.0,2.3966666666666669,5
WHOOP,4.0,Fitness Band,71.8,30.0,2.3933333333333331,7
WHOOP,4.0,Fitness Band,71.7,30.0,2.39,8
WHOOP,4.0,Fitness Band,71.6,30.0,2.3866666666666663,9
WHOOP,4.0,Fitness Band,71.5,30.0,2.3833333333333333,10
WHOOP,4.0,Fitness Band,71.4,30.0,2.3800000000000003,11
WHOOP,4.0,Fitness Band,71.4,30.0,2.3800000000000003,11
WHOOP,4.0,Fitness Band,71.3,30.0,2.3766666666666665,13
WHOOP,4.0,Fitness Band,71.3,30.0,2.3766666666666665,13
WHOOP,4.0,Fitness Band,71.2,30.0,2.3733333333333335,15
WHOOP,4.0,Fitness Band,71.2,30.0,2.3733333333333335,15
WHOOP,4.0,Fitness Band,71.2,30.0,2.3733333333333335,15
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.1,30.0,2.3699999999999997,18
WHOOP,4.0,Fitness Band,71.0,30.0,2.3666666666666667,25
WHOOP,4.0,Fitness Band,70.9,30.0,2.3633333333333337,26
WHOOP,4.0,Fitness Band,70.9,30.0,2.3633333333333337,26
WHOOP,4.0,Fitness Band,70.9,30.0,2.3633333333333337,26
WHOOP,4.0,Fitness Band,70.8,30.0,2.36,29
WHOOP,4.0,Fitness Band,70.8,30.0,2.36,29
WHOOP,4.0,Fitness Band,70.8,30.0,2.36,29
WHOOP,4.0,Fitness Band,70.7,30.0,2.3566666666666669,32
WHOOP,4.0,Fitness Band,70.7,30.0,2.3566666666666669,32
WHOOP,4.0,Fitness Band,70.7,30.0,2.3566666666666669,32
WHOOP,4.0,Fitness Band,70.6,30.0,2.3533333333333331,35
WHOOP,4.0,Fitness Band,70.6,30.0,2.3533333333333331,35
WHOOP,4.0,Fitness Band,70.6,30.0,2.3533333333333331,35
WHOOP,4.0,Fitness Band,70.6,30.0,2.3533333333333331,35
WHOOP,4.0,Fitness Band,70.6,30.0,2.3533333333333331,35
WHOOP,4.0,Fitness Band,70.5,30.0,2.35,40
WHOOP,4.0,Fitness Band,70.5,30.0,2.35,40
WHOOP,4.0,Fitness Band,70.5,30.0,2.35,40
WHOOP,4.0,Fitness Band,70.4,30.0,2.3466666666666667,43
WHOOP,4.0,Fitness Band,70.4,30.0,2.3466666666666667,43
WHOOP,4.0,Fitness Band,70.3,30.0,2.3433333333333333,45
WHOOP,4.0,Fitness Band,70.3,30.0,2.3433333333333333,45
WHOOP,4.0,Fitness Band,70.3,30.0,2.3433333333333333,45
WHOOP,4.0,Fitness Band,70.3,30.0,2.3433333333333333,45
WHOOP,4.0,Fitness Band,70.2,30.0,2.3400000000000003,49
WHOOP,4.0,Fitness Band,70.2,30.0,2.3400000000000003,49
WHOOP,4.0,Fitness Band,70.2,30.0,2.3400000000000003,49
WHOOP,4.0,Fitness Band,70.2,30.0,2.3400000000000003,49
WHOOP,4.0,Fitness Band,70.2,30.0,2.3400000000000003,49
WHOOP,4.0,Fitness Band,70.2,30.0,2.3400000000000003,49
WHOOP,4.0,Fitness Band,70.1,30.0,2.3366666666666664,55
WHOOP,4.0,Fitness Band,70.1,30.0,2.3366666666666664,55
WHOOP,4.0,Fitness Band,70.1,30.0,2.3366666666666664,55
WHOOP,4.0,Fitness Band,70.0,30.0,2.3333333333333335,58
WHOOP,4.0,Fitness Band,70.0,30.0,2.3333333333333335,58
WHOOP,4.0,Fitness Band,70.0,30.0,2.3333333333333335,58
WHOOP,4.0,Fitness Band,70.0,30.0,2.3333333333333335,58
WHOOP,4.0,Fitness Band,70.0,30.0,2.3333333333333335,58
WHOOP,4.0,Fitness Band,70.0,30.0,2.3333333333333335,58
WHOOP,4.0,Fitness Band,69.9,30.0,2.33,64
WHOOP,4.0,Fitness Band,69.9,30.0,2.33,64
WHOOP,4.0,Fitness Band,69.9,30.0,2.33,64
WHOOP,4.0,Fitness Band,69.9,30.0,2.33,64
WHOOP,4.0,Fitness Band,69.9,30.0,2.33,64
WHOOP,4.0,Fitness Band,69.9,30.0,2.33,64
WHOOP,4.0,Fitness Band,69.8,30.0,2.3266666666666667,70
WHOOP,4.0,Fitness Band,69.8,30.0,2.3266666666666667,70
WHOOP,4.0,Fitness Band,69.8,30.0,2.3266666666666667,70
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.7,30.0,2.3233333333333333,73
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.6,30.0,2.32,82
WHOOP,4.0,Fitness Band,69.5,30.0,2.3166666666666669,90
WHOOP,4.0,Fitness Band,69.5,30.0,2.3166666666666669,90
WHOOP,4.0,Fitness Band,69.5,30.0,2.3166666666666669,90
WHOOP,4.0,Fitness Band,69.5,30.0,2.3166666666666669,90
WHOOP,4.0,Fitness Band,69.5,30.0,2.3166666666666669,90
WHOOP,4.0,Fitness Band,69.5,30.0,2.3166666666666669,90
WHOOP,4.0,Fitness Band,69.4,30.0,2.3133333333333335,96
WHOOP,4.0,Fitness Band,69.4,30.0,2.3133333333333335,96
WHOOP,4.0,Fitness Band,69.4,30.0,2.3133333333333335,96
WHOOP,4.0,Fitness Band,69.4,30.0,2.3133333333333335,96
WHOOP,4.0,Fitness Band,69.4,30.0,2.3133333333333335,96
WHOOP,4.0,Fitness Band,69.4,30.0,2.3133333333333335,96
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.3,30.0,2.31,102
WHOOP,4.0,Fitness Band,69.2,30.0,2.3066666666666666,109
WHOOP,4.0,Fitness Band,69.2,30.0,2.3066666666666666,109
WHOOP,4.0,Fitness Band,69.2,30.0,2.3066666666666666,109
WHOOP,4.0,Fitness Band,69.1,30.0,2.3033333333333332,112
WHOOP,4.0,Fitness Band,69.1,30.0,2.3033333333333332,112
WHOOP,4.0,Fitness Band,69.1,30.0,2.3033333333333332,112
WHOOP,4.0,Fitness Band,69.1,30.0,2.3033333333333332,112
WHOOP,4.0,Fitness Band,69.0,30.0,2.3,116
WHOOP,4.0,Fitness Band,68.9,30.0,2.2966666666666669,117
WHOOP,4.0,Fitness Band,68.9,30.0,2.2966666666666669,117
WHOOP,4.0,Fitness Band,68.9,30.0,2.2966666666666669,117
WHOOP,4.0,Fitness Band,68.9,30.0,2.2966666666666669,117
WHOOP,4.0,Fitness Band,68.9,30.0,2.2966666666666669,117
WHOOP,4.0,Fitness Band,68.9,30.0,2.2966666666666669,117
WHOOP,4.0,Fitness Band,68.8,30.0,2.2933333333333334,123
WHOOP,4.0,Fitness Band,68.8,30.0,2.2933333333333334,123
WHOOP,4.0,Fitness Band,68.8,30.0,2.2933333333333334,123
WHOOP,4.0,Fitness Band,68.8,30.0,2.2933333333333334,123
WHOOP,4.0,Fitness Band,68.8,30.0,2.2933333333333334,123
WHOOP,4.0,Fitness Band,68.8,30.0,2.2933333333333334,123
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.7,30.0,2.29,129
WHOOP,4.0,Fitness Band,68.6,30.0,2.2866666666666666,137
WHOOP,4.0,Fitness Band,68.6,30.0,2.2866666666666666,137
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.5,30.0,2.2833333333333332,139
WHOOP,4.0,Fitness Band,68.4,30.0,2.2800000000000002,147
WHOOP,4.0,Fitness Band,68.4,30.0,2.2800000000000002,147
WHOOP,4.0,Fitness Band,68.4,30.0,2.2800000000000002,147
WHOOP,4.0,Fitness Band,68.4,30.0,2.2800000000000002,147
WHOOP,4.0,Fitness Band,68.4,30.0,2.2800000000000002,147
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.3,30.0,2.2766666666666664,152
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.2,30.0,2.2733333333333334,159
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.1,30.0,2.27,171
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,68.0,30.0,2.2666666666666666,178
WHOOP,4.0,Fitness Band,67.9,30.0,2.2633333333333336,185
WHOOP,4.0,Fitness Band,67.9,30.0,2.2633333333333336,185
WHOOP,4.0,Fitness Band,67.9,30.0,2.2633333333333336,185
WHOOP,4.0,Fitness Band,67.9,30.0,2.2633333333333336,185
WHOOP,4.0,Fitness Band,67.9,30.0,2.2633333333333336,185
WHOOP,4.0,Fitness Band,67.8,30.0,2.26,190
WHOOP,4.0,Fitness Band,67.8,30.0,2.26,190
WHOOP,4.0,Fitness Band,67.8,30.0,2.26,190
