Brand,Model,Performance_Score,Price_USD,Value_Per_Dollar
WHOOP,4.0,72.7,30.0,2.4233333333333333
WHOOP,4.0,72.2,30.0,2.4066666666666667
WHOOP,4.0,72.2,30.0,2.4066666666666667
WHOOP,4.0,72.2,30.0,2.4066666666666667
WHOOP,4.0,71.9,30.0,2.3966666666666669
WHOOP,4.0,71.9,30.0,2.3966666666666669
WHOOP,4.0,71.8,30.0,2.3933333333333331
WHOOP,4.0,71.7,30.0,2.39
WHOOP,4.0,71.6,30.0,2.3866666666666663
WHOOP,4.0,71.5,30.0,2.3833333333333333
WHOOP,4.0,71.4,30.0,2.3800000000000003
WHOOP,4.0,71.4,30.0,2.3800000000000003
WHOOP,4.0,71.3,30.0,2.3766666666666665
WHOOP,4.0,71.3,30.0,2.3766666666666665
WHOOP,4.0,71.2,30.0,2.3733333333333335
WHOOP,4.0,71.2,30.0,2.3733333333333335
WHOOP,4.0,71.2,30.0,2.3733333333333335
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.1,30.0,2.3699999999999997
WHOOP,4.0,71.0,30.0,2.3666666666666667
WHOOP,4.0,70.9,30.0,2.3633333333333337
WHOOP,4.0,70.9,30.0,2.3633333333333337
WHOOP,4.0,70.9,30.0,2.3633333333333337
WHOOP,4.0,70.8,30.0,2.36
WHOOP,4.0,70.8,30.0,2.36
WHOOP,4.0,70.8,30.0,2.36
WHOOP,4.0,70.7,30.0,2.3566666666666669
WHOOP,4.0,70.7,30.0,2.3566666666666669
WHOOP,4.0,70.7,30.0,2.3566666666666669
WHOOP,4.0,70.6,30.0,2.3533333333333331
WHOOP,4.0,70.6,30.0,2.3533333333333331
WHOOP,4.0,70.6,30.0,2.3533333333333331
WHOOP,4.0,70.6,30.0,2.3533333333333331
WHOOP,4.0,70.6,30.0,2.3533333333333331
WHOOP,4.0,70.5,30.0,2.35
WHOOP,4.0,70.5,30.0,2.35
WHOOP,4.0,70.5,30.0,2.35
WHOOP,4.0,70.4,30.0,2.3466666666666667
WHOOP,4.0,70.4,30.0,2.3466666666666667
WHOOP,4.0,70.3,30.0,2.3433333333333333
WHOOP,4.0,70.3,30.0,2.3433333333333333
WHOOP,4.0,70.3,30.0,2.3433333333333333
WHOOP,4.0,70.3,30.0,2.3433333333333333
WHOOP,4.0,70.2,30.0,2.3400000000000003
WHOOP,4.0,70.2,30.0,2.3400000000000003
WHOOP,4.0,70.2,30.0,2.3400000000000003
WHOOP,4.0,70.2,30.0,2.3400000000000003
WHOOP,4.0,70.2,30.0,2.3400000000000003
WHOOP,4.0,70.2,30.0,2.3400000000000003
WHOOP,4.0,70.1,30.0,2.3366666666666664
WHOOP,4.0,70.1,30.0,2.3366666666666664
WHOOP,4.0,70.1,30.0,2.3366666666666664
WHOOP,4.0,70.0,30.0,2.3333333333333335
WHOOP,4.0,70.0,30.0,2.3333333333333335
WHOOP,4.0,70.0,30.0,2.3333333333333335
WHOOP,4.0,70.0,30.0,2.3333333333333335
